Cluster 1,Center,x=86.000000, y=64.000000
Date,High,Low,
8/7/2018,96,71,1
8/8/2018,98,72,1
8/9/2018,97,71,1
8/10/2018,93,73,1
,,,
,,,
Cluster 3,Center,x=84.000000, y=57.000000
Date,High,Low,
1/2/2014,81,52,2
1/6/2014,78,49,2
1/13/2014,80,46,2
1/14/2014,82,48,2
1/15/2014,85,48,2
1/16/2014,85,49,2
1/17/2014,85,52,2
1/18/2014,84,52,2
1/19/2014,80,48,2
1/20/2014,81,47,2
1/21/2014,78,54,2
1/22/2014,77,54,2
2/12/2014,80,51,2
2/13/2014,80,52,2
2/14/2014,79,50,2
2/15/2014,78,51,2
2/20/2014,82,51,2
2/22/2014,76,51,2
3/8/2014,81,51,2
3/11/2014,78,54,2
3/12/2014,80,54,2
3/15/2014,81,54,2
3/29/2014,76,53,2
4/6/2014,78,52,2
4/10/2014,81,50,2
4/14/2014,77,53,2
11/3/2014,77,52,2
11/4/2014,77,51,2
11/5/2014,85,53,2
11/17/2014,76,53,2
11/18/2014,77,52,2
11/24/2014,80,53,2
11/25/2014,80,52,2
11/26/2014,85,53,2
11/28/2014,81,53,2
12/23/2014,83,51,2
1/5/2015,81,50,2
1/7/2015,85,53,2
1/15/2015,76,51,2
1/16/2015,77,50,2
1/17/2015,78,50,2
1/24/2015,82,49,2
1/25/2015,83,48,2
2/2/2015,78,51,2
2/5/2015,82,53,2
2/10/2015,78,53,2
2/15/2015,80,54,2
3/5/2015,77,51,2
3/6/2015,83,49,2
3/8/2015,78,53,2
3/10/2015,80,55,2
4/9/2015,76,53,2
4/16/2015,81,54,2
4/26/2015,77,54,2
11/6/2015,77,51,2
11/7/2015,80,50,2
11/8/2015,78,52,2
11/12/2015,77,51,2
11/13/2015,82,50,2
11/14/2015,78,51,2
11/19/2015,86,51,2
11/23/2015,81,55,2
12/2/2015,78,50,2
12/5/2015,77,49,2
12/7/2015,81,55,2
12/8/2015,83,54,2
1/21/2016,77,50,2
2/6/2016,77,50,2
2/7/2016,84,51,2
2/14/2016,79,48,2
2/22/2016,78,51,2
2/23/2016,83,55,2
2/26/2016,79,54,2
3/10/2016,77,54,2
3/15/2016,77,53,2
3/23/2016,77,52,2
3/24/2016,81,55,2
3/25/2016,78,54,2
11/2/2016,78,54,2
11/18/2016,78,54,2
11/24/2016,78,52,2
12/20/2016,79,49,2
12/28/2016,80,53,2
12/29/2016,82,55,2
1/8/2017,79,53,2
1/29/2017,80,47,2
1/30/2017,80,53,2
1/31/2017,77,50,2
2/13/2017,77,53,2
2/15/2017,80,53,2
3/2/2017,79,48,2
3/3/2017,82,55,2
3/7/2017,77,49,2
3/11/2017,83,55,2
3/12/2017,84,53,2
3/14/2017,86,52,2
3/17/2017,78,53,2
4/10/2017,79,54,2
4/11/2017,77,54,2
4/15/2017,76,53,2
11/14/2017,78,53,2
11/30/2017,76,51,2
12/2/2017,76,51,2
12/7/2017,78,46,2
12/8/2017,78,48,2
12/9/2017,83,50,2
12/10/2017,82,50,2
12/11/2017,80,53,2
12/12/2017,83,53,2
12/13/2017,81,49,2
12/15/2017,81,50,2
12/28/2017,79,47,2
12/29/2017,83,52,2
1/2/2018,78,52,2
1/13/2018,84,53,2
1/17/2018,78,52,2
1/28/2018,83,49,2
1/31/2018,81,52,2
2/1/2018,79,52,2
2/2/2018,84,54,2
2/3/2018,80,53,2
2/4/2018,81,51,2
2/5/2018,77,53,2
2/7/2018,82,51,2
2/8/2018,83,52,2
3/6/2018,78,50,2
3/27/2018,77,50,2
3/28/2018,76,52,2
3/30/2018,76,52,2
4/21/2018,83,53,2
10/16/2018,83,54,2
10/31/2018,80,55,2
11/9/2018,82,50,2
11/10/2018,78,53,2
11/11/2018,78,50,2
11/12/2018,78,48,2
11/14/2018,79,54,2
11/15/2018,80,51,2
11/16/2018,76,52,2
11/26/2018,78,54,2
12/13/2018,77,48,2
1/19/2019,78,51,2
1/24/2019,77,46,2
1/25/2019,77,48,2
1/26/2019,77,50,2
1/27/2019,77,51,2
3/16/2019,81,50,2
3/30/2019,80,54,2
,,,
,,,
Cluster 4,Center,x=82.000000, y=49.000000
Date,High,Low,
1/1/2014,71,44,3
1/3/2014,72,48,3
1/4/2014,69,50,3
1/5/2014,77,45,3
1/7/2014,69,48,3
1/8/2014,68,47,3
1/10/2014,70,47,3
1/11/2014,73,48,3
1/12/2014,71,50,3
1/23/2014,72,51,3
1/26/2014,69,52,3
1/27/2014,69,52,3
1/28/2014,70,49,3
1/29/2014,70,52,3
2/10/2014,73,53,3
2/17/2014,71,50,3
2/23/2014,73,49,3
2/24/2014,73,52,3
3/14/2014,71,52,3
3/27/2014,69,51,3
4/3/2014,68,49,3
4/26/2014,68,50,3
11/2/2014,70,51,3
11/19/2014,74,53,3
11/20/2014,70,53,3
11/22/2014,73,52,3
11/29/2014,74,51,3
12/10/2014,73,53,3
12/21/2014,68,50,3
12/22/2014,75,50,3
12/24/2014,75,53,3
1/8/2015,75,51,3
1/14/2015,73,47,3
1/18/2015,75,53,3
1/19/2015,72,50,3
1/22/2015,75,47,3
1/23/2015,75,50,3
2/1/2015,76,49,3
2/3/2015,72,51,3
2/24/2015,74,46,3
2/25/2015,72,51,3
2/26/2015,70,51,3
3/4/2015,72,48,3
4/8/2015,70,49,3
4/11/2015,72,53,3
11/3/2015,70,53,3
11/4/2015,69,50,3
11/5/2015,71,50,3
11/10/2015,68,50,3
11/11/2015,72,48,3
11/15/2015,69,51,3
11/17/2015,72,45,3
11/18/2015,76,48,3
11/24/2015,70,52,3
12/1/2015,72,47,3
12/18/2015,72,47,3
1/12/2016,70,46,3
1/17/2016,68,49,3
1/22/2016,71,50,3
1/25/2016,71,50,3
1/26/2016,73,47,3
1/27/2016,73,52,3
1/28/2016,74,50,3
1/29/2016,72,50,3
2/4/2016,70,46,3
2/5/2016,76,46,3
2/13/2016,75,51,3
2/19/2016,69,51,3
2/20/2016,72,50,3
2/21/2016,73,50,3
2/27/2016,74,53,3
3/2/2016,73,52,3
3/3/2016,74,54,3
3/8/2016,72,49,3
3/9/2016,74,53,3
3/11/2016,69,52,3
3/22/2016,71,53,3
3/31/2016,72,50,3
4/26/2016,70,53,3
11/17/2016,72,52,3
11/19/2016,75,49,3
11/22/2016,70,52,3
11/23/2016,72,50,3
11/25/2016,75,51,3
11/29/2016,69,47,3
12/4/2016,71,44,3
12/14/2016,71,51,3
12/27/2016,72,47,3
1/7/2017,70,51,3
1/14/2017,72,47,3
1/17/2017,68,46,3
1/28/2017,74,41,3
2/1/2017,72,48,3
2/12/2017,75,50,3
3/1/2017,75,47,3
3/4/2017,71,53,3
3/24/2017,72,53,3
4/1/2017,74,53,3
4/9/2017,72,52,3
5/8/2017,71,51,3
11/13/2017,73,53,3
11/20/2017,73,50,3
11/28/2017,76,49,3
11/29/2017,75,52,3
12/1/2017,74,52,3
12/3/2017,69,52,3
12/4/2017,72,51,3
12/5/2017,71,45,3
12/6/2017,75,44,3
12/14/2017,76,48,3
12/17/2017,72,48,3
12/18/2017,72,50,3
12/19/2017,69,47,3
12/24/2017,74,45,3
12/25/2017,69,45,3
12/26/2017,68,46,3
12/27/2017,76,46,3
12/30/2017,73,48,3
12/31/2017,69,49,3
1/1/2018,71,47,3
1/3/2018,74,53,3
1/4/2018,75,53,3
1/11/2018,70,49,3
1/12/2018,72,50,3
1/15/2018,72,51,3
1/16/2018,72,52,3
1/23/2018,75,46,3
1/24/2018,75,52,3
1/26/2018,68,46,3
1/27/2018,74,49,3
2/11/2018,72,50,3
2/15/2018,71,51,3
2/16/2018,74,49,3
2/17/2018,76,49,3
2/18/2018,69,48,3
3/5/2018,72,44,3
3/7/2018,72,51,3
3/8/2018,73,50,3
3/19/2018,74,49,3
3/26/2018,72,48,3
3/29/2018,74,51,3
3/31/2018,70,52,3
4/17/2018,71,51,3
4/18/2018,72,53,3
4/20/2018,74,54,3
4/24/2018,70,53,3
5/3/2018,69,52,3
11/13/2018,76,47,3
11/19/2018,73,52,3
11/20/2018,74,50,3
11/21/2018,71,53,3
12/4/2018,71,51,3
12/7/2018,70,49,3
12/8/2018,72,52,3
12/9/2018,72,53,3
12/11/2018,70,50,3
12/15/2018,72,47,3
12/16/2018,71,46,3
12/19/2018,75,49,3
12/20/2018,76,49,3
12/22/2018,70,49,3
1/8/2019,72,50,3
1/20/2019,74,54,3
1/28/2019,75,50,3
2/25/2019,68,48,3
3/13/2019,69,51,3
3/14/2019,71,48,3
3/15/2019,76,48,3
3/24/2019,70,53,3
3/25/2019,75,53,3
3/26/2019,72,53,3
3/29/2019,73,51,3
,,,
,,,
Cluster 5,Center,x=70.000000, y=53.000000
Date,High,Low,
2/2/2014,63,47,4
2/3/2014,63,46,4
2/4/2014,63,48,4
2/5/2014,64,48,4
12/14/2014,66,47,4
12/15/2014,65,47,4
12/18/2014,62,48,4
12/26/2014,63,42,4
12/27/2014,63,39,4
12/28/2014,63,43,4
12/29/2014,63,41,4
12/30/2014,56,47,4
12/31/2014,57,41,4
1/1/2015,59,37,4
1/2/2015,61,39,4
1/3/2015,63,40,4
1/4/2015,69,42,4
11/26/2015,64,48,4
11/28/2015,64,46,4
11/30/2015,66,46,4
12/13/2015,66,47,4
12/14/2015,59,47,4
12/15/2015,61,42,4
12/16/2015,61,40,4
12/17/2015,66,42,4
12/19/2015,65,45,4
12/20/2015,61,44,4
12/21/2015,62,44,4
12/24/2015,62,47,4
12/25/2015,59,44,4
12/26/2015,62,42,4
12/27/2015,61,36,4
12/28/2015,58,37,4
12/29/2015,61,41,4
12/30/2015,62,41,4
12/31/2015,65,41,4
1/1/2016,64,43,4
1/2/2016,65,47,4
1/3/2016,62,44,4
1/5/2016,59,49,4
1/6/2016,58,46,4
1/7/2016,59,45,4
1/8/2016,62,44,4
1/9/2016,60,46,4
1/11/2016,64,47,4
1/13/2016,66,43,4
1/24/2016,66,47,4
2/1/2016,58,43,4
2/2/2016,62,41,4
2/3/2016,65,43,4
3/7/2016,61,47,4
3/12/2016,66,47,4
3/29/2016,64,48,4
11/26/2016,63,45,4
11/28/2016,64,47,4
11/30/2016,68,45,4
12/3/2016,68,43,4
12/5/2016,66,47,4
12/17/2016,62,47,4
12/18/2016,67,42,4
12/19/2016,71,40,4
12/24/2016,61,47,4
12/25/2016,58,43,4
12/26/2016,64,46,4
